Case,peak_abs_body_bounce,peak_abs_pitch_angle_rad,peak_abs_pitch_angle_deg,peak_abs_body_bounce_acceleration,peak_abs_pitch_acceleration,peak_abs_front_suspension_deflection,peak_abs_rear_suspension_deflection,peak_abs_front_tyre_deflection,peak_abs_rear_tyre_deflection
Comfort,0.00667729331491261,0.00659367930909076,0.377789995873637,4.77457925089188,5.85240934401221,0.0423045995280592,0.0400822209338001,0.0321196096636651,0.0322776078857797
Rally,0.00754829086654364,0.00950944678529067,0.544851166301404,5.93036250561931,7.58111211089131,0.034246036722862,0.0321190805243277,0.0285604795495625,0.0285914740183261
Track,0.00947405484384715,0.0107127897442585,0.613797639157047,6.60369361693296,8.45528353381571,0.0280129897580205,0.0272319993629832,0.0265776557009208,0.0260486231188819
