Case,peak_body_bounce_value,peak_body_bounce_frequency_Hz,peak_pitch_angle_value_deg,peak_pitch_angle_frequency_Hz,peak_rms_body_bounce_acceleration,peak_rms_body_bounce_acceleration_frequency_Hz,peak_front_suspension_deflection_value,peak_front_suspension_deflection_frequency_Hz,peak_rear_suspension_deflection_value,peak_rear_suspension_deflection_frequency_Hz,peak_front_tyre_deflection_value,peak_front_tyre_deflection_frequency_Hz,peak_rear_tyre_deflection_value,peak_rear_tyre_deflection_frequency_Hz
Comfort,0.0286852501752669,0.963704630788486,1.46386617103114,1.40300375469337,9.27976649057192,10.8479349186483,0.0461762947018929,11.0187734668335,0.0461846501525758,11.0187734668335,0.0506645942033259,11.8729662077597,0.049531923609351,12.1414267834793
Rally,0.0214205798473242,0.890488110137672,1.42595586332124,1.72027534418023,9.49600936187363,10.7747183979975,0.0315269601300052,2.33041301627034,0.0291312068476485,9.139549436796,0.0350471744106449,12.1170212765957,0.0350779901405664,12.9712140175219
Track,0.0197591803197722,0.5,1.42618138696244,1.98873591989987,9.57537993206703,10.7747183979975,0.033139893102375,2.59887359198999,0.0259219881045485,4.47809762202753,0.0289437618553107,12.165832290363,0.0292107434856925,13.1420525657071
