k_s_N_per_m,c_s_Ns_per_m,k_s_kN_per_m,c_s_kNs_per_m,balanced_score,bump_peak_sprung_mass_acceleration_mps2,sine_rms_sprung_mass_acceleration_mps2,bump_peak_suspension_deflection_m,sine_peak_tyre_deflection_m,baseline_k_s_N_per_m,baseline_c_s_Ns_per_m,selected_k_s_N_per_m,selected_c_s_Ns_per_m
10000,800,10,0.8,0.755734402299496,5.9929743520475,0.875975670288037,0.0490600319541366,0.00166563925547984,15000,1200,10000,1150
10000,857.142857142857,10,0.857142857142857,0.768142529866913,6.29057426744161,0.890737749654958,0.0484165898230833,0.00171537947205183,15000,1200,10000,1150
10000,914.285714285714,10,0.914285714285714,0.78037645677027,6.57873547591506,0.905670270208081,0.0477911672653161,0.00176507798353098,15000,1200,10000,1150
10000,971.428571428571,10,0.971428571428571,0.792446323194693,6.85799165128197,0.92068776990462,0.0471886277897268,0.00181448573160436,15000,1200,10000,1150
10000,1028.57142857143,10,1.02857142857143,0.804328313882324,7.12883006448182,0.935713765657688,0.0466073491197182,0.00186339144109456,15000,1200,10000,1150
10000,1085.71428571429,10,1.08571428571429,0.815978133691632,7.39169655808997,0.950680587978118,0.0460416105496089,0.00191161793180353,15000,1200,10000,1150
10000,1142.85714285714,10,1.14285714285714,0.827383216751679,7.64699996034779,0.965529049033334,0.045490763109447,0.00195901851519015,15000,1200,10000,1150
10000,1200,10,1.2,0.83853370376555,7.89511592511583,0.980207991237858,0.044954193295265,0.00200547356781964,15000,1200,10000,1150
10000,1257.14285714286,10,1.25714285714286,0.849422197914712,8.13639068466797,0.994673755968478,0.0444313208433103,0.00205088733297644,15000,1200,10000,1150
10000,1314.28571428571,10,1.31428571428571,0.860043491815602,8.37114349994508,1.00888960474048,0.0439215964999318,0.00209518497490596,15000,1200,10000,1150
10000,1371.42857142857,10,1.37142857142857,0.870394341317205,8.59966995533443,1.02282511855222,0.0434245001620698,0.00213830989274062,15000,1200,10000,1150
10000,1428.57142857143,10,1.42857142857143,0.880473222374869,8.82224408383464,1.03645559528005,0.0429395389920493,0.00218022129023568,15000,1200,10000,1150
10000,1485.71428571429,10,1.48571428571429,0.890280112372277,9.03912052453685,1.04976146003696,0.0424662457241078,0.00222089199083316,15000,1200,10000,1150
10000,1542.85714285714,10,1.54285714285714,0.899816286748954,9.25053642178501,1.06272769927191,0.0420041770809627,0.00226030648380324,15000,1200,10000,1150
10000,1600,10,1.6,0.909084131742433,9.45671309419257,1.07534332601522,0.0415529122998334,0.00229845918528139,15000,1200,10000,1150
10714.2857142857,800,10.7142857142857,0.8,0.777394892252698,5.98483308578368,0.946275055937409,0.0488589681289166,0.00180333722756147,15000,1200,10000,1150
10714.2857142857,857.142857142857,10.7142857142857,0.857142857142857,0.789253725192897,6.28082346967703,0.959515516209219,0.0482204915701443,0.00184977102064107,15000,1200,10000,1150
10714.2857142857,914.285714285714,10.7142857142857,0.914285714285714,0.8009451087466,6.56751949760214,0.972912626874632,0.0475998564668281,0.00189622951276293,15000,1200,10000,1150
10714.2857142857,971.428571428571,10.7142857142857,0.971428571428571,0.812448012071839,6.84544287834297,0.986388109503608,0.0469963032410986,0.00194246551398491,15000,1200,10000,1150
10714.2857142857,1028.57142857143,10.7142857142857,1.02857142857143,0.823753487076027,7.11506992500997,0.999871713405362,0.0464106890740966,0.00198826777461469,15000,1200,10000,1150
10714.2857142857,1085.71428571429,10.7142857142857,1.08571428571429,0.834888267927477,7.37683646466391,1.01330115168019,0.0458496330397607,0.00203345804115606,15000,1200,10000,1150
