Case,baseline_peak_abs_xs,baseline_peak_abs_xsddot,baseline_peak_abs_suspension_deflection,baseline_peak_abs_tyre_deflection,selected_peak_abs_xs,selected_peak_abs_xsddot,selected_peak_abs_suspension_deflection,selected_peak_abs_tyre_deflection
Comfort,0.0139960874343483,7.81307545110471,0.0437563890176672,0.020949177822155,0.0122133296904112,7.67840009723449,0.0454499931326754,0.0222022257951835
Rally,0.0196964937315244,10.5546428647748,0.0359880138259913,0.0202789290065269,0.019428760497909,11.5174844856591,0.0354265607620863,0.0221130403360721
Track,0.0248521861434592,12.7764611459293,0.029803167659184,0.0213143669958394,0.0253424783648861,14.4397344574355,0.0281816075185313,0.0245371855946659
