k_s_N_per_m,c_s_Ns_per_m,k_s_kN_per_m,c_s_kNs_per_m,balanced_score,bump_peak_sprung_mass_acceleration_mps2,sine_rms_sprung_mass_acceleration_mps2,bump_peak_suspension_deflection_m,sine_peak_tyre_deflection_m,baseline_k_s_N_per_m,baseline_c_s_Ns_per_m,selected_k_s_N_per_m,selected_c_s_Ns_per_m
18000,1500,18,1.5,0.876453636897295,8.9526783779117,1.83922848551837,0.0406032282332591,0.00384833544257017,25000,2000,18000,2300
18000,1578.57142857143,18,1.57857142857143,0.875811751553653,9.23642327557508,1.81922116357871,0.0400124020382791,0.00382470480943297,25000,2000,18000,2300
18000,1657.14285714286,18,1.65714285714286,0.875314028280545,9.51225496657322,1.80043472735493,0.0394399321686768,0.0038026198683032,25000,2000,18000,2300
18000,1735.71428571429,18,1.73571428571429,0.874992098503423,9.78048214757424,1.78281858689249,0.0388906262257935,0.00378200355314778,25000,2000,18000,2300
18000,1814.28571428571,18,1.81428571428571,0.874844677040983,10.0413940601282,1.76631597252023,0.0383647543022531,0.00376277327303843,25000,2000,18000,2300
18000,1892.85714285714,18,1.89285714285714,0.874810693088228,10.2952625571082,1.75086669541204,0.0378541106894995,0.00374484420388251,25000,2000,18000,2300
18000,1971.42857142857,18,1.97142857142857,0.874880686787129,10.5423439015572,1.7364092293828,0.0373579883184408,0.00372813169303392,25000,2000,18000,2300
18000,2050,18,2.05,0.875045300678208,10.782880745865,1.72288224627893,0.0368757250711833,0.00371255296496423,25000,2000,18000,2300
18000,2128.57142857143,18,2.12857142857143,0.875295474883423,11.0171040230402,1.71022571870536,0.0364067005040103,0.0036980282857561,25000,2000,18000,2300
18000,2207.14285714286,18,2.20714285714286,0.875622544719754,11.2452330916704,1.69838168517562,0.0359503325070709,0.0036844817153404,25000,2000,18000,2300
18000,2285.71428571429,18,2.28571428571429,0.876018325868015,11.4674769880041,1.687294755525,0.0355060745079166,0.00367184155074133,25000,2000,18000,2300
18000,2364.28571428571,18,2.36428571428571,0.876475166337863,11.6840357120049,1.6769124192539,0.035073412370455,0.00366004054169986,25000,2000,18000,2300
18000,2442.85714285714,18,2.44285714285714,0.877038746915338,11.8973268698233,1.66718520656375,0.034651862624767,0.00364901594190409,25000,2000,18000,2300
18000,2521.42857142857,18,2.52142857142857,0.877767605375435,12.1102792850646,1.65806674113473,0.0342409695864634,0.00363870944434598,25000,2000,18000,2300
18000,2600,18,2.6,0.878540668494047,12.3182162596206,1.64951371496316,0.033840303642564,0.00362906703759995,25000,2000,18000,2300
19000,1500,19,1.5,0.902132684177576,8.94307680788156,1.96963638806003,0.0404012263461107,0.00412578973556464,25000,2000,18000,2300
19000,1578.57142857143,19,1.57857142857143,0.899800951466266,9.22537765284479,1.94152289839538,0.0398162649047945,0.00408493824244037,25000,2000,18000,2300
19000,1657.14285714286,19,1.65714285714286,0.897744494854036,9.49991727105941,1.91525366594865,0.0392494081443867,0.0040469323669176,25000,2000,18000,2300
19000,1735.71428571429,19,1.73571428571429,0.895945447289215,9.76698901725379,1.89073055709006,0.0386997735698337,0.00401160137590382,25000,2000,18000,2300
19000,1814.28571428571,19,1.81428571428571,0.894419531746163,10.0268684742413,1.86785095148593,0.0381714649879475,0.00397877107815052,25000,2000,18000,2300
19000,1892.85714285714,19,1.89285714285714,0.893165087430842,10.2798154476686,1.84651119411337,0.0376661435146325,0.00394826881831358,25000,2000,18000,2300
19000,1971.42857142857,19,1.97142857142857,0.892108612921382,10.5260755963003,1.82660906019643,0.0371751245376366,0.00391992691747098,25000,2000,18000,2300
19000,2050,19,2.05,0.891232818231017,10.765881569887,1.80804545864882,0.0366977577319715,0.00389358493613367,25000,2000,18000,2300
19000,2128.57142857143,19,2.12857142857143,0.890521324771793,10.9994557633091,1.79072555684096,0.0362334336391108,0.00386909105994304,25000,2000,18000,2300
19000,2207.14285714286,19,2.20714285714286,0.889958742713421,11.2270099304353,1.77455947204973,0.0357815804027552,0.00384630284313273,25000,2000,18000,2300
19000,2285.71428571429,19,2.28571428571429,0.88953072149547,11.4487458909128,1.75946264341112,0.0353416610008004,0.00382508749093966,25000,2000,18000,2300
19000,2364.28571428571,19,2.36428571428571,0.889240570506472,11.6655567805414,1.74535597236606,0.0349131705649549,0.00380532181870115,25000,2000,18000,2300
19000,2442.85714285714,19,2.44285714285714,0.889206968666713,11.8831494922498,1.73216579885747,0.0344956338677195,0.00378689199102846,25000,2000,18000,2300
19000,2521.42857142857,19,2.52142857142857,0.889274720434204,12.0956297317759,1.71982376415114,0.0340886032413044,0.00376969311771153,25000,2000,18000,2300
19000,2600,19,2.6,0.889432984599503,12.3031440534102,1.70826659836082,0.0336916565326187,0.00375362876245824,25000,2000,18000,2300
20000,1500,20,1.5,0.929244643533732,8.93470703983739,2.10634631330909,0.0402003212206964,0.00441821118921485,25000,2000,18000,2300
20000,1578.57142857143,20,1.57857142857143,0.925022578422929,9.21553250419603,2.06919359452012,0.0396211817099556,0.00435807112059949,25000,2000,18000,2300
20000,1657.14285714286,20,1.65714285714286,0.921238119108023,9.48874927130645,2.03465792954554,0.039059897374532,0.00430239235570639,25000,2000,18000,2300
20000,1735.71428571429,20,1.73571428571429,0.917858474020042,9.75463548530121,2.00256892870061,0.0385155995470543,0.00425086007975761,25000,2000,18000,2300
20000,1814.28571428571,20,1.81428571428571,0.91485130265275,10.0134530164551,1.97275739213845,0.0379874763072234,0.00420316596095567,25000,2000,18000,2300
20000,1892.85714285714,20,1.89285714285714,0.912216236488256,10.2654496185251,1.94505889867275,0.0374792065744904,0.00415901379822479,25000,2000,18000,2300
20000,1971.42857142857,20,1.97142857142857,0.909945662131793,10.5108603398946,1.9193161354734,0.0369932524909975,0.00411812300255545,25000,2000,18000,2300
20000,2050,20,2.05,0.907954685894302,10.7499079870666,1.89538030507129,0.0365207454836521,0.0040802305158759,25000,2000,18000,2300
20000,2128.57142857143,20,2.12857142857143,0.906217544824779,10.9828062755016,1.87311186732331,0.0360610869695463,0.00404509162541426,25000,2000,18000,2300
20000,2207.14285714286,20,2.20714285714286,0.904710409707818,11.2097593685282,1.85238081094139,0.0356137152671084,0.00401248001568555,25000,2000,18000,2300
20000,2285.71428571429,20,2.28571428571429,0.903411344644034,11.4309621601105,1.83306659982137,0.0351781028548387,0.00398218731030094,25000,2000,18000,2300
20000,2364.28571428571,20,2.36428571428571,0.902447590667101,11.6528157716059,1.81505790136858,0.034753753831471,0.00395402228710919,25000,2000,18000,2300
20000,2442.85714285714,20,2.44285714285714,0.901667058100441,11.8698591480796,1.79825217507319,0.034340201348598,0.00392780989841209,25000,2000,18000,2300
20000,2521.42857142857,20,2.52142857142857,0.901043076767876,12.0818450725107,1.78255517778704,0.0339370056077156,0.00390339018940728,25000,2000,18000,2300
20000,2600,20,2.6,0.900559871022166,12.2889151782175,1.7678804258735,0.0335437518427582,0.0038806171795302,25000,2000,18000,2300
21000,1500,21,1.5,0.957606505018048,8.92753898902952,2.2484853396185,0.0400005072693743,0.004723753885546,25000,2000,18000,2300
21000,1578.57142857143,21,1.57857142857143,0.951296405759796,9.20685933841228,2.20137603077978,0.039427147122396,0.00464227980601287,25000,2000,18000,2300
21000,1657.14285714286,21,1.65714285714286,0.945620783295002,9.47872395312032,2.15782121870556,0.0388713947702028,0.00456723373869066,25000,2000,18000,2300
21000,1735.71428571429,21,1.73571428571429,0.940525575958126,9.74339586802061,2.11754756247908,0.0383323952464944,0.00449809313992885,25000,2000,18000,2300
21000,1814.28571428571,21,1.81428571428571,0.935959466199303,10.0011233055819,2.08029435561377,0.037809349425333,0.00443436359946891,25000,2000,18000,2300
21000,1892.85714285714,21,1.89285714285714,0.931874393116908,10.2521418959964,2.04581621315993,0.0373015096116978,0.00437558308188399,25000,2000,18000,2300
