k_s_N_per_m,c_s_Ns_per_m,k_s_kN_per_m,c_s_kNs_per_m,balanced_score,bump_peak_sprung_mass_acceleration_mps2,sine_rms_sprung_mass_acceleration_mps2,bump_peak_suspension_deflection_m,sine_peak_tyre_deflection_m,baseline_k_s_N_per_m,baseline_c_s_Ns_per_m,selected_k_s_N_per_m,selected_c_s_Ns_per_m
30000,2200,30,2.2,1.02444286916204,11.1166431707868,2.58846446652194,0.0340796785402954,0.00562232720543769,40000,2850,30000,3600
30000,2300,30,2.3,1.01092859165536,11.3960238841946,2.51288600340858,0.0335624098253087,0.00547042431584007,40000,2850,30000,3600
30000,2400,30,2.4,0.998838089614841,11.6678603566384,2.44462895915502,0.0330616823583777,0.00533354102675931,40000,2850,30000,3600
30000,2500,30,2.5,0.987986538350705,11.9323441841424,2.38277183980283,0.0325766516734941,0.00520976159636571,40000,2850,30000,3600
30000,2600,30,2.6,0.978217961156252,12.1896709670589,2.3265362243017,0.0321065332200312,0.00509746964280351,40000,2850,30000,3600
30000,2700,30,2.7,0.969490237780447,12.4400399362904,2.27526033448114,0.031661359906048,0.00499529275411702,40000,2850,30000,3600
30000,2800,30,2.8,0.9616087068566,12.6836500340514,2.22837824729572,0.0312307245035705,0.00490205891445319,40000,2850,30000,3600
30000,2900,30,2.9,0.954461820492242,12.9207016959886,2.18540339067241,0.0308122565117678,0.00481676190450001,40000,2850,30000,3600
30000,3000,30,3,0.947966296089058,13.1513923027362,2.14591532618079,0.0304054060220224,0.00473853359052852,40000,2850,30000,3600
30000,3100,30,3.1,0.942050066460197,13.3759176128035,2.1095490786396,0.0300096594417044,0.00466662155340601,40000,2850,30000,3600
30000,3200,30,3.2,0.936650505400461,13.5944710977597,2.07598645746036,0.0296245341089232,0.00460037089506947,40000,2850,30000,3600
30000,3300,30,3.3,0.931712973962041,13.8072414858874,2.04494894887919,0.0292495782729158,0.00453920934089128,40000,2850,30000,3600
30000,3400,30,3.4,0.927278308219207,14.0189410420455,2.01619185704053,0.028884368243577,0.00448263496305308,40000,2850,30000,3600
30000,3500,30,3.5,0.923267742414154,14.2278729592,1.98949944532171,0.0285285035388963,0.00443020600367578,40000,2850,30000,3600
30000,3600,30,3.6,0.919593163737763,14.4316024628381,1.96468088437465,0.028181607769279,0.0043815323917602,40000,2850,30000,3600
31428.5714285714,2200,31.4285714285714,2.2,1.03792883794443,11.113901998834,2.66307765943048,0.0338678234215086,0.00579097525488458,40000,2850,30000,3600
31428.5714285714,2300,31.4285714285714,2.3,1.02365024911543,11.3916795976872,2.58375827559373,0.0333572839376461,0.00563015033870593,40000,2850,30000,3600
31428.5714285714,2400,31.4285714285714,2.4,1.01084773749997,11.6620692424854,2.51199786374017,0.0328629661628222,0.00548495068875686,40000,2850,30000,3600
31428.5714285714,2500,31.4285714285714,2.5,0.999332838646648,11.9252473314542,2.44686000902399,0.0323840456359474,0.00535341710513706,40000,2850,30000,3600
31428.5714285714,2600,31.4285714285714,2.6,0.988946028552397,12.1813953755859,2.38755142600784,0.0319197560591268,0.00523389148386034,40000,2850,30000,3600
31428.5714285714,2700,31.4285714285714,2.7,0.979551543064252,12.4307007125125,2.33339594305358,0.0314693847114423,0.00512496203027909,40000,2850,30000,3600
31428.5714285714,2800,31.4285714285714,2.8,0.971119856511567,12.6733512053311,2.28381394466209,0.0310426027011806,0.00502541995689494,40000,2850,30000,3600
31428.5714285714,2900,31.4285714285714,2.9,0.963473643718127,12.9095374344513,2.23830598219746,0.0306295637403315,0.00493422495498215,40000,2850,30000,3600
31428.5714285714,3000,31.4285714285714,3,0.956511600073664,13.1394484599987,2.19643959990042,0.0302279065496059,0.00485047743625956,40000,2850,30000,3600
31428.5714285714,3100,31.4285714285714,3.1,0.950159151451496,13.3632719353343,2.15783866408487,0.0298371310004174,0.00477339604710657,40000,2850,30000,3600
31428.5714285714,3200,31.4285714285714,3.2,0.944351377189647,13.5811943809451,2.12217465804398,0.0294567674877182,0.00470229932471137,40000,2850,30000,3600
31428.5714285714,3300,31.4285714285714,3.3,0.939100020485885,13.7968964341333,2.0891595331301,0.0290863752366391,0.00463659063336661,40000,2850,30000,3600
31428.5714285714,3400,31.4285714285714,3.4,0.934354771225834,14.010528656399,2.05853980116728,0.0287255419936433,0.00457574571813756,40000,2850,30000,3600
31428.5714285714,3500,31.4285714285714,3.5,0.930005066007733,14.2188559482228,2.03009162412084,0.0283738775269667,0.00451930236188522,40000,2850,30000,3600
31428.5714285714,3600,31.4285714285714,3.6,0.926011990192708,14.4220346659031,2.00361671031297,0.0280310148132562,0.00446685174383722,40000,2850,30000,3600
32857.1428571429,2200,32.8571428571429,2.2,1.04906370850579,11.1126619556388,2.72563565047747,0.0336574703502879,0.00593415251744388,40000,2850,30000,3600
32857.1428571429,2300,32.8571428571429,2.3,1.03431525718016,11.3888000602321,2.6440560704862,0.033153593710425,0.00576757282489381,40000,2850,30000,3600
32857.1428571429,2400,32.8571428571429,2.4,1.02104996871239,11.657706611545,2.57004681963777,0.032665623054985,0.0056167385719154,40000,2850,30000,3600
32857.1428571429,2500,32.8571428571429,2.5,1.00908401047217,11.9195426754047,2.50269797336124,0.0321927536319232,0.00547973581792171,40000,2850,30000,3600
32857.1428571429,2600,32.8571428571429,2.6,0.998260843622575,12.1744763126831,2.44123399745601,0.031734237192284,0.00535493467388483,40000,2850,30000,3600
32857.1428571429,2700,32.8571428571429,2.7,0.988446520809412,12.422682501399,2.38499025498569,0.0312893778695117,0.00524093960898478,40000,2850,30000,3600
32857.1428571429,2800,32.8571428571429,2.8,0.979525826269875,12.664338713031,2.33339422901931,0.0308575270182995,0.00513654972319738,40000,2850,30000,3600
32857.1428571429,2900,32.8571428571429,2.9,0.971483523679196,12.8996253064405,2.28595040101722,0.0304481258159725,0.00504072674758928,40000,2850,30000,3600
32857.1428571429,3000,32.8571428571429,3,0.964157811665483,13.1287232218672,2.24222798631797,0.0300516110061704,0.00495256908620414,40000,2850,30000,3600
32857.1428571429,3100,32.8571428571429,3.1,0.957459285456921,13.3518122032895,2.20185092005479,0.0296657582555845,0.00487129061828709,40000,2850,30000,3600
32857.1428571429,3200,32.8571428571429,3.2,0.951378217428833,13.571912850261,2.16448962878198,0.029290110863575,0.00479620327913604,40000,2850,30000,3600
32857.1428571429,3300,32.8571428571429,3.3,0.945877851800961,13.7902520881724,2.12985422901385,0.0289242389317323,0.00472670266140014,40000,2850,30000,3600
32857.1428571429,3400,32.8571428571429,3.4,0.940833165793416,14.0031923038728,2.09768887356922,0.0285677413106662,0.00466225604684024,40000,2850,30000,3600
32857.1428571429,3500,32.8571428571429,3.5,0.936199356177525,14.210886950324,2.06776702704382,0.0282202380227935,0.0046023924061311,40000,2850,30000,3600
32857.1428571429,3600,32.8571428571429,3.6,0.931936786951517,14.4134875309996,2.03988749790425,0.0278813712763199,0.00454669400177449,40000,2850,30000,3600
34285.7142857143,2200,34.2857142857143,2.2,1.05776394335977,11.1128766983546,2.77577357260375,0.0334486090377871,0.00605086787410094,40000,2850,30000,3600
34285.7142857143,2300,34.2857142857143,2.3,1.04283904435605,11.3873412163565,2.69340305658006,0.032951329410515,0.00588170239518667,40000,2850,30000,3600
34285.7142857143,2400,34.2857142857143,2.4,1.02936139309707,11.6547307345679,2.61840005609121,0.0324696438115671,0.00572793869546748,40000,2850,30000,3600
34285.7142857143,2500,34.2857142857143,2.5,1.01715921749397,11.9151906966345,2.54991816013034,0.0320027668921128,0.005587788221716,40000,2850,30000,3600
34285.7142857143,2600,34.2857142857143,2.6,1.00608493792803,12.1688762968782,2.48722926817386,0.0315499683163436,0.00545971357041305,40000,2850,30000,3600
34285.7142857143,2700,34.2857142857143,2.7,0.996011230123096,12.4159497919227,2.42970424157643,0.0311105687657671,0.00534238738825312,40000,2850,30000,3600
34285.7142857143,2800,34.2857142857143,2.8,0.986827810974759,12.6565787263438,2.37679713877031,0.030683935002816,0.00523465887787552,40000,2850,30000,3600
34285.7142857143,2900,34.2857142857143,2.9,0.978438780525861,12.8909331791421,2.32803230342785,0.030269475851089,0.00513552635945828,40000,2850,30000,3600
34285.7142857143,3000,34.2857142857143,3,0.970843299422139,13.1191860100039,2.28299373471345,0.0298765113089044,0.00504411467780129,40000,2850,30000,3600
34285.7142857143,3100,34.2857142857143,3.1,0.963943288321209,13.3440935307278,2.24131629206583,0.0294955335385783,0.00495965650582372,40000,2850,30000,3600
34285.7142857143,3200,34.2857142857143,3.2,0.957687326620833,13.5671302454881,2.20267838214892,0.0291245568821988,0.00488147679711458,40000,2850,30000,3600
34285.7142857143,3300,34.2857142857143,3.3,0.951944991978066,13.7846849698478,2.16679584929675,0.0287631623830529,0.00480897979631327,40000,2850,30000,3600
34285.7142857143,3400,34.2857142857143,3.4,0.946666135353206,13.9969059475556,2.13341684801115,0.0284109595609579,0.00474163813738063,40000,2850,30000,3600
34285.7142857143,3500,34.2857142857143,3.5,0.941806334515429,14.2039411022499,2.10231752070269,0.0280675786938218,0.00467898365440943,40000,2850,30000,3600
34285.7142857143,3600,34.2857142857143,3.6,0.937326154025612,14.4059373130217,2.0732983388184,0.0277326711355287,0.00462059960371457,40000,2850,30000,3600
35714.2857142857,2200,35.7142857142857,2.2,1.06405258766079,11.114500967619,2.81365418760161,0.0332412292587136,0.00614128464720844,40000,2850,30000,3600
35714.2857142857,2300,35.7142857142857,2.3,1.04922483283796,11.3872602440009,2.73185751975674,0.0327504813645087,0.00597250045013428,40000,2850,30000,3600
35714.2857142857,2400,35.7142857142857,2.4,1.03577140767218,11.6531009408182,2.65704216269328,0.032275019263402,0.00581837325581875,40000,2850,30000,3600
35714.2857142857,2500,35.7142857142857,2.5,1.02353834707818,11.9121529077494,2.58845365483731,0.0318140767135913,0.00567730223382525,40000,2850,30000,3600
35714.2857142857,2600,35.7142857142857,2.6,1.01239179640582,12.1645586517709,2.52543489804524,0.0313669411656785,0.00554789410641231,40000,2850,30000,3600
35714.2857142857,2700,35.7142857142857,2.7,1.00221501032872,12.4104678447384,2.46741182700281,0.0309329495645328,0.00542893257491292,40000,2850,30000,3600
35714.2857142857,2800,35.7142857142857,2.8,0.99290593126829,12.6500381297957,2.41388137861357,0.0305114838682248,0.00531935264908639,40000,2850,30000,3600
35714.2857142857,2900,35.7142857142857,2.9,0.984375030169718,12.8834296002387,2.36440138044564,0.0301019669970002,0.0052182190679842,40000,2850,30000,3600
35714.2857142857,3000,35.7142857142857,3,0.976597597364188,13.1135634546763,2.31858203637568,0.0297038593971794,0.00512470812678186,40000,2850,30000,3600
