Case,baseline_rms_xsddot,baseline_peak_abs_xs,baseline_peak_abs_suspension_deflection,baseline_peak_abs_tyre_deflection,selected_rms_xsddot,selected_peak_abs_xs,selected_peak_abs_suspension_deflection,selected_peak_abs_tyre_deflection
Comfort,1.49435962618752,0.0237906162892278,0.0326215085547928,0.00304409027157124,0.967459508081093,0.0154024853411664,0.0269036427154789,0.00196490303056139
Rally,2.37400844149099,0.03779417095508,0.0310945666362317,0.00510900535212032,1.68547716240898,0.0268326738380713,0.024531494156243,0.00366963250414506
Track,2.46356247989304,0.0392239097848239,0.0209704468660077,0.00544347573421773,1.96465278663775,0.031279853723351,0.0177910588376586,0.00438153234477911
